No_month,year,month,States,Sum_of_Series_Complete_Yes,Sum_of_Administered_Dose1_Pop_Pct,Sum_of_Series_Complete_Pop_Pct,Sum_of_Series_Complete_Janssen,Sum_of_Series_Complete_Moderna,Sum_of_Series_Complete_Pfizer,Sum_of_Administered_Janssen,Sum_of_Administered_Moderna,Sum_of_Administered_Pfizer,Personal_income_average_monthly,COVID_death_rate,COVID-19,Death
4,2020,6,Arkansas,0,0.0000,0.0000,0,0,0,0,0,0,4000,0.0279,154,5514
4,2020,6,California,0,0.0000,0.0000,0,0,0,0,0,0,6318,0.0420,2050,48824
4,2020,6,Colorado,0,0.0000,0.0000,0,0,0,0,0,0,5560,0.0281,182,6488
4,2020,6,Connecticut,0,0.0000,0.0000,0,0,0,0,0,0,6522,0.0592,274,4626
4,2020,6,Delaware,0,0.0000,0.0000,0,0,0,0,0,0,5391,0.0426,64,1504
4,2020,6,Florida,0,0.0000,0.0000,0,0,0,0,0,0,4550,0.0255,1070,42038
4,2020,6,Georgia,0,0.0000,0.0000,0,0,0,0,0,0,5009,0.0313,515,16434
4,2020,6,Hawaii,0,0.0000,0.0000,0,0,0,0,0,0,4472,0.0000,0,1706
4,2020,6,Idaho,0,0.0000,0.0000,0,0,0,0,0,0,3744,0.0000,0,2390
4,2020,6,Illinois,0,0.0000,0.0000,0,0,0,0,0,0,5633,0.0678,1151,16982
4,2020,6,Indiana,0,0.0000,0.0000,0,0,0,0,0,0,4303,0.0431,465,10796
4,2020,6,Iowa,0,0.0000,0.0000,0,0,0,0,0,0,4242,0.0306,147,4800
4,2020,6,Kansas,0,0.0000,0.0000,0,0,0,0,0,0,4195,0.0131,55,4212
4,2020,6,Kentucky,0,0.0000,0.0000,0,0,0,0,0,0,4086,0.0190,150,7888
4,2020,6,Louisiana,0,0.0000,0.0000,0,0,0,0,0,0,4190,0.0398,351,8822
4,2020,6,Maine,0,0.0000,0.0000,0,0,0,0,0,0,4138,0.0000,0,2238
4,2020,6,Maryland,0,0.0000,0.0000,0,0,0,0,0,0,5538,0.0811,666,8217
4,2020,6,Massachusetts,0,0.0000,0.0000,0,0,0,0,0,0,6959,0.0736,624,8476
4,2020,6,Michigan,0,0.0000,0.0000,0,0,0,0,0,0,4775,0.0194,296,15276
4,2020,6,Minnesota,0,0.0000,0.0000,0,0,0,0,0,0,5343,0.0516,360,6976
4,2020,6,Mississippi,0,0.0000,0.0000,0,0,0,0,0,0,3475,0.0499,313,6277
4,2020,6,Missouri,0,0.0000,0.0000,0,0,0,0,0,0,4407,0.0181,192,10602
4,2020,6,Montana,0,0.0000,0.0000,0,0,0,0,0,0,3761,0.0000,0,1520
4,2020,6,Nebraska,0,0.0000,0.0000,0,0,0,0,0,0,4143,0.0334,86,2576
4,2020,6,Nevada,0,0.0000,0.0000,0,0,0,0,0,0,4472,0.0161,79,4896
4,2020,6,New Hampshire,0,0.0000,0.0000,0,0,0,0,0,0,5170,0.0472,91,1930
4,2020,6,New Jersey,0,0.0000,0.0000,0,0,0,0,0,0,6309,0.0753,827,10978
4,2020,6,New Mexico,0,0.0000,0.0000,0,0,0,0,0,0,4000,0.0366,123,3361
4,2020,6,New York,0,0.0000,0.0000,0,0,0,0,0,0,7336,0.0478,1094,22905
4,2020,6,North Carolina,0,0.0000,0.0000,0,0,0,0,0,0,4732,0.0285,465,16296
4,2020,6,North Dakota,0,0.0000,0.0000,0,0,0,0,0,0,4533,0.0000,0,962
4,2020,6,Ohio,0,0.0000,0.0000,0,0,0,0,0,0,4606,0.0272,549,20170
4,2020,6,Oklahoma,0,0.0000,0.0000,0,0,0,0,0,0,4104,0.0097,63,6494
4,2020,6,Oregon,0,0.0000,0.0000,0,0,0,0,0,0,4775,0.0087,52,5944
4,2020,6,Pennsylvania,0,0.0000,0.0000,0,0,0,0,0,0,5092,0.0394,816,20734
4,2020,6,Rhode Island,0,0.0000,0.0000,0,0,0,0,0,0,4905,0.1011,143,1414
4,2020,6,South Carolina,0,0.0000,0.0000,0,0,0,0,0,0,3995,0.0282,288,10202
4,2020,6,South Dakota,0,0.0000,0.0000,0,0,0,0,0,0,3904,0.0097,12,1234
4,2020,6,Tennessee,0,0.0000,0.0000,0,0,0,0,0,0,4446,0.0149,194,13054
4,2020,6,Texas,0,0.0000,0.0000,0,0,0,0,0,0,5334,0.0305,1427,46758
4,2020,6,Utah,0,0.0000,0.0000,0,0,0,0,0,0,4450,0.0169,58,3434
4,2020,6,Vermont,0,0.0000,0.0000,0,0,0,0,0,0,4247,0.0000,0,792
4,2020,6,Virginia,0,0.0000,0.0000,0,0,0,0,0,0,5343,0.0337,386,11468
4,2020,6,Washington,0,0.0000,0.0000,0,0,0,0,0,0,6119,0.0158,147,9296
4,2020,6,West Virginia,0,0.0000,0.0000,0,0,0,0,0,0,3917,0.0000,0,3522
4,2020,6,Wisconsin,0,0.0000,0.0000,0,0,0,0,0,0,4368,0.0177,151,8510
4,2020,6,Wyoming,0,0.0000,0.0000,0,0,0,0,0,0,4156,0.0000,0,740
5,2020,7,Alabama,0,0.0000,0.0000,0,0,0,0,0,0,4212,0.0662,870,13134
5,2020,7,Alaska,0,0.0000,0.0000,0,0,0,0,0,0,4905,0.0000,0,920
5,2020,7,Arizona,0,0.0000,0.0000,0,0,0,0,0,0,4754,0.1335,2102,15748
5,2020,7,Arkansas,0,0.0000,0.0000,0,0,0,0,0,0,4000,0.0357,267,7482
5,2020,7,California,0,0.0000,0.0000,0,0,0,0,0,0,6318,0.0621,3884,62575
5,2020,7,Colorado,0,0.0000,0.0000,0,0,0,0,0,0,5560,0.0175,146,8340
5,2020,7,Connecticut,0,0.0000,0.0000,0,0,0,0,0,0,6522,0.0122,68,5586
5,2020,7,Delaware,0,0.0000,0.0000,0,0,0,0,0,0,5391,0.0123,23,1874
5,2020,7,Florida,0,0.0000,0.0000,0,0,0,0,0,0,4550,0.0919,4980,54202
5,2020,7,Georgia,0,0.0000,0.0000,0,0,0,0,0,0,5009,0.0610,1342,22018
5,2020,7,Hawaii,0,0.0000,0.0000,0,0,0,0,0,0,4472,0.0000,0,2270
5,2020,7,Idaho,0,0.0000,0.0000,0,0,0,0,0,0,3744,0.0374,121,3238
5,2020,7,Illinois,0,0.0000,0.0000,0,0,0,0,0,0,5633,0.0206,438,21212
5,2020,7,Indiana,0,0.0000,0.0000,0,0,0,0,0,0,4303,0.0242,329,13596
5,2020,7,Iowa,0,0.0000,0.0000,0,0,0,0,0,0,4242,0.0257,168,6538
5,2020,7,Kansas,0,0.0000,0.0000,0,0,0,0,0,0,4195,0.0188,103,5482
5,2020,7,Kentucky,0,0.0000,0.0000,0,0,0,0,0,0,4086,0.0168,173,10276
5,2020,7,Louisiana,0,0.0000,0.0000,0,0,0,0,0,0,4190,0.0642,752,11718
5,2020,7,Maine,0,0.0000,0.0000,0,0,0,0,0,0,4138,0.0043,12,2806
5,2020,7,Maryland,0,0.0000,0.0000,0,0,0,0,0,0,5538,0.0296,307,10358
5,2020,7,Massachusetts,0,0.0000,0.0000,0,0,0,0,0,0,6959,0.0180,186,10317
5,2020,7,Michigan,0,0.0000,0.0000,0,0,0,0,0,0,4775,0.0094,183,19433
5,2020,7,Minnesota,0,0.0000,0.0000,0,0,0,0,0,0,5343,0.0157,139,8858
5,2020,7,Mississippi,0,0.0000,0.0000,0,0,0,0,0,0,3475,0.0775,656,8464
5,2020,7,Missouri,0,0.0000,0.0000,0,0,0,0,0,0,4407,0.0192,265,13770
5,2020,7,Montana,0,0.0000,0.0000,0,0,0,0,0,0,3761,0.0159,33,2076
5,2020,7,Nebraska,0,0.0000,0.0000,0,0,0,0,0,0,4143,0.0086,30,3508
5,2020,7,Nevada,0,0.0000,0.0000,0,0,0,0,0,0,4472,0.0545,355,6514
5,2020,7,New Hampshire,0,0.0000,0.0000,0,0,0,0,0,0,5170,0.0078,18,2314
5,2020,7,New Jersey,0,0.0000,0.0000,0,0,0,0,0,0,6309,0.0234,315,13438
5,2020,7,New Mexico,0,0.0000,0.0000,0,0,0,0,0,0,4000,0.0383,154,4018
5,2020,7,New York,0,0.0000,0.0000,0,0,0,0,0,0,7336,0.0145,411,28341
5,2020,7,North Carolina,0,0.0000,0.0000,0,0,0,0,0,0,4732,0.0331,694,20960
5,2020,7,North Dakota,0,0.0000,0.0000,0,0,0,0,0,0,4533,0.0173,23,1326
5,2020,7,Ohio,0,0.0000,0.0000,0,0,0,0,0,0,4606,0.0254,661,26070
5,2020,7,Oklahoma,0,0.0000,0.0000,0,0,0,0,0,0,4104,0.0260,221,8492
5,2020,7,Oregon,0,0.0000,0.0000,0,0,0,0,0,0,4775,0.0124,94,7604
5,2020,7,Pennsylvania,0,0.0000,0.0000,0,0,0,0,0,0,5092,0.0187,489,26136
5,2020,7,Rhode Island,0,0.0000,0.0000,0,0,0,0,0,0,4905,0.0131,25,1904
5,2020,7,South Carolina,0,0.0000,0.0000,0,0,0,0,0,0,3995,0.0796,1024,12872
5,2020,7,South Dakota,0,0.0000,0.0000,0,0,0,0,0,0,3904,0.0171,28,1642
5,2020,7,Tennessee,0,0.0000,0.0000,0,0,0,0,0,0,4446,0.0342,581,16984
5,2020,7,Texas,0,0.0000,0.0000,0,0,0,0,0,0,5334,0.1261,6967,55234
5,2020,7,Utah,0,0.0000,0.0000,0,0,0,0,0,0,4450,0.0299,127,4252
5,2020,7,Vermont,0,0.0000,0.0000,0,0,0,0,0,0,4247,0.0000,0,1026
5,2020,7,Virginia,0,0.0000,0.0000,0,0,0,0,0,0,5343,0.0249,365,14672
5,2020,7,Washington,0,0.0000,0.0000,0,0,0,0,0,0,6119,0.0235,280,11908
5,2020,7,West Virginia,0,0.0000,0.0000,0,0,0,0,0,0,3917,0.0051,24,4664
5,2020,7,Wisconsin,0,0.0000,0.0000,0,0,0,0,0,0,4368,0.0146,158,10850
5,2020,7,Wyoming,0,0.0000,0.0000,0,0,0,0,0,0,4156,0.0000,0,890
6,2020,8,Alabama,0,0.0000,0.0000,0,0,0,0,0,0,4212,0.0988,955,9662
6,2020,8,Alaska,0,0.0000,0.0000,0,0,0,0,0,0,4905,0.0000,0,758
6,2020,8,Arizona,0,0.0000,0.0000,0,0,0,0,0,0,4754,0.0915,937,10242
6,2020,8,Arkansas,0,0.0000,0.0000,0,0,0,0,0,0,4000,0.0680,397,5834
6,2020,8,California,0,0.0000,0.0000,0,0,0,0,0,0,6318,0.0818,3756,45921
6,2020,8,Colorado,0,0.0000,0.0000,0,0,0,0,0,0,5560,0.0175,113,6470
6,2020,8,Connecticut,0,0.0000,0.0000,0,0,0,0,0,0,6522,0.0000,0,4666
6,2020,8,Delaware,0,0.0000,0.0000,0,0,0,0,0,0,5391,0.0000,0,1456
6,2020,8,Florida,0,0.0000,0.0000,0,0,0,0,0,0,4550,0.1302,4787,36762
6,2020,8,Georgia,0,0.0000,0.0000,0,0,0,0,0,0,5009,0.1123,1807,16084
6,2020,8,Hawaii,0,0.0000,0.0000,0,0,0,0,0,0,4472,0.0346,67,1936
6,2020,8,Idaho,0,0.0000,0.0000,0,0,0,0,0,0,3744,0.0671,170,2534
